"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","YEAR","CENSUS_TYPE"
"Government",1,5101,"Kingston Heath Primary School","Primary","O","22","25","47","16","31","47","20","32","52","20","16","36","20","18","38","21","13","34","25","22","47","0","0","0","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","301",2018,"F"
"Government",1,5104,"Andersons Creek Primary School","Primary","O","19","21","40","28","17","45","35","21","56","19","25","44","32","35","67","19","22","41","19","24","43","0","0","0","336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","336",2018,"F"
"Government",1,5105,"Waverley Meadows Primary School","Primary","O","13","13","26","12","10","22","14","12","26","22","18","40","19","13","32","14","20","34","10","17","27","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","207",2018,"F"
"Government",1,5106,"Kingswood Primary School","Primary","O","45","43","88","34","38","72","51","40","91","53","55","108","42","40","82","46","47","93","43","40","83","0","0","0","617","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","617",2018,"F"
"Government",1,5109,"Ascot Vale Special School","Special","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","16","41","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.2","19","63.2","63.2","104.2",2018,"F"
"Government",1,5111,"Camelot Rise Primary School","Primary","O","27","32","59","27","28","55","32","26","58","38","30","68","32","37","69","43","26","69","38","27","65","0","0","0","443","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","443",2018,"F"
"Government",1,5113,"Livingstone Primary School","Primary","O","71","59","130","57","61","118","60","55","115","57","44","101","66","59","125","61","57","118","49","55","104","0","0","0","811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","811",2018,"F"
"Government",1,5117,"Churchill North Primary School","Primary","O","11","15","26","15","17","32","9","16","25","9","9","18","18","7","25","14","8","22","10","11","21","0","0","0","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","169",2018,"F"
"Government",1,5118,"St Albans Meadows Primary School","Primary","O","39","41","80","34","35","69","27","19","46","45","25","70","30","36","66","35","32","67","27","30","57","0","0","0","455","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","455",2018,"F"
"Government",1,5120,"Silverton Primary School","Primary","O","43","28","71","45","32","77","34","34","68","43","50","93","41","36","77","32","31","63","23","28","51","0","0","0","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500",2018,"F"
"Government",1,5121,"Kalinda Primary School","Primary","O","44","58","102","46","33","79","45","50","95","36","39","75","39","37","76","34","33","67","34","39","73","0","0","0","567","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","567",2018,"F"
"Government",1,5123,"Whittington Primary School","Primary","O","13","12","25","16","11","27","11","13","24","13","9","22","18","13","31","12","6","18","13","11","24","0","0","0","171","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","171",2018,"F"
"Government",1,5127,"Coldstream Primary School","Primary","O","5","9","14","5","4","9","3","4","7","12","2","14","5","8","13","8","5","13","5","6","11","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","81",2018,"F"
"Government",1,5129,"Templestowe Park Primary School","Primary","O","46","46","92","41","37","78","24","27","51","26","38","64","28","21","49","32","25","57","39","44","83","0","0","0","474","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","474",2018,"F"
"Government",1,5130,"River Gum Primary School","Primary","O","42","27","69","42","30","72","38","34","72","41","31","72","23","50","73","43","41","84","36.4","44","80.4","0","0","0","522.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","522.4",2018,"F"
"Government",1,5131,"Regency Park Primary School","Primary","O","43","40","83","41","43","84","49","41","90","36","32","68","40","33","73","33","39","72","31","49","80","0","0","0","550","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","550",2018,"F"
"Government",1,5132,"Dorset Primary School","Primary","O","38","34","72","35","29","64","29","38","67","35","52","87","35","38.6","73.6","28","26","54","49","34","83","0","0","0","500.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500.6",2018,"F"
"Government",1,5133,"Eastbourne Primary School","Primary","O","38","19","57","25","23","48","22","25","47","32","20","52","22","29","51","30","41","71","21","24","45","0","0","0","371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","371",2018,"F"
