Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""",Grand Total
Catholic,2,20,Parade College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,343,366,0,366,311,0,311,300,0,300,280.3,0,280.3,291,0,291,0,0,0,1891.3,1891.3
Catholic,2,25,Simonds Catholic College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,82,77,0,77,77,0,77,81,0,81,68,0,68,79,0,79,0,0,0,464,464
Catholic,2,26,Christian Brothers' College St Kilda,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,94,109,0,109,94,0,94,99,0,99,88,0,88,59,0,59,0,0,0,543,543
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,245,230,0,230,230.4,0,230.4,235,0,235,248,0,248,200,0,200,0,0,0,1388.4,1388.4
Catholic,2,29,St Patrick's School,Primary,O,17,14,31,11,22,33,15,19,34,16,23,39,18,12,30,23,17,40,23,16,39,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Catholic,2,30,St Alipius' Parish School,Primary,O,24,16,40,19,23,42,18,27,45,14,16,30,24,22,46,22,17,39,13,17,30,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
Catholic,2,33,Emmanuel College Inc.,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,106,207,99,113,212,105,102,207,79.1,112,191.1,78.3,100.1,178.4,85.7,99.8,185.5,0,0,0,1181,1181
Catholic,2,35,Loreto College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,156,0,156,156,0,157,157,0,157,157,0,141,141,0,154,154,0,0,0,921,921
Catholic,2,60,St Mary's School,Primary,O,22,12,34,9,18,27,23,15,38,12,23,35,22,15,37,18,17,35,21,18,39,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
Catholic,2,77,Sacred Heart School,Primary,O,22,22,44,19,22,41,17,25,42,20,22,42,23,19,42,21,5,26,13,17,30,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267
Catholic,2,78,St Mary's School,Primary,O,28,21,49,28,21,49,30,21,51,24,26,50,25,21,46,20,22,42,26,32,58,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345
Catholic,2,98,St Michael's School,Primary,O,11,8,19,11,9,20,6,3,9,8,9,17,7,7,14,13,9,22,8,9,17,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
Catholic,2,104,St Patrick's School,Primary,O,20,16,36,25,27,52,20,26,46,15,20,35,20,21,41,23,28,51,25,25,50,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
Catholic,2,106,Presentation College Windsor,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,70,0,70,70,0,91,91,0,89,89,0,100,100,0,99,99,0,0,0,519,519
Catholic,2,107,St Mary's School,Primary,O,17,30,47,20,21,41,17,27,44,24,24,48,16,26,42,19,19,38,24,16,40,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
Catholic,2,111,Assumption College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,101,204,110,93,203,115,88,203,118,98,216,111,94,205,107,88,195,0,0,0,1226,1226
Catholic,2,113,St Brendan's School,Primary,O,9,6,15,14,10,24,9,14,23,13,15,28,13,10,23,13,12,25,12,10,22,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
Catholic,2,130,Catholic College Bendigo,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,128,231,113,109,222,132.2,138,270.2,137,150,287,146.3,123,269.3,154,136,290,0,0,0,1569.5,1569.5
Catholic,2,132,St Augustine's School,Primary,O,18,20,38,16,20,36,18,10,28,13,24,37,14,19,33,22,21,43,18,16,34,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
Catholic,2,139,St Mary's School,Primary,O,32,33,65,31,18,49,25,36,61,30,22,52,27,24,51,31,22,53,24,27,51,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382
Catholic,2,140,St Aloysius' School,Primary,O,20,17,37,28,9,37,24,9,33,13,23,36,12,16,28,11,25,36,9,12,21,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228
Catholic,2,148,St Joseph's School,Primary,O,41,33,74,42,29,71,44,30,74,27,33,60,40,34,74,14,21,35,13,12,25,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
Catholic,2,149,Sacre Coeur,Pri/Sec,O,0,15,15,0,18,18,0,21,21,0,22,22,0,24,24,0,46,46,0,49,49,0,0,0,195,0,94,94,0,89,89,0,80,80,0,93,93,0,87,87,0,88,88,0,0,0,531,726
Catholic,2,151,St Joseph's School,Primary,O,6,9,15,9,9,18,10,12,22,6,16,22,10,21,31,7,15,22,15,7,22,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
Catholic,2,152,Sacred Heart School,Primary,O,11,6,17,8,9,17,12,13,25,8,6,14,8,8,16,12,7,19,10,8,18,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
Catholic,2,153,Sacred Heart School,Primary,O,8,8,16,9,11,20,5,4,9,14,7,21,12,6,18,11,5,16,7,6,13,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
Catholic,2,154,St Michael's School,Primary,O,41,25,66,26,29,55,23.4,30,53.4,24,27,51,23,32,55,30,23,53,28,25,53,0,0,0,386.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.4
Catholic,2,156,St Brendan's School,Primary,O,29,20,49,30,20,50,30,22,52,29,36,65,31,31,62,28,33,61,27,30,57,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396
Catholic,2,161,St Mary's College,Pri/Sec,O,23,17,40,14,12,26,22,14,36,25,17,42,18,15,33,13,18,31,20,23,43,0,0,0,251,17.5,18,35.5,17,17,34,29,18,47,23,19,42,0,0,0,0,0,0,0,0,0,158.5,409.5
Catholic,2,181,St Mary's School,Primary,O,3,0,3,2,4,6,5,3,8,3,1,4,7,2,9,6,3,9,2,2,4,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
Catholic,2,183,St Mary's Primary School,Primary,O,15,8,23,13,12,25,11,13,24,9,9,18,12,14,26,15,14,29,9,11,20,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
Catholic,2,184,St Patrick's Primary School,Primary,O,63,39,102,37,39,76,44,40,84,44,39,83,49,33.4,82.4,46,37,83,36,48,84,0,0,0,594.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594.4
Catholic,2,185,St Brigid's School,Primary,O,5,5,10,16,8,24,6,10,16,12,5,17,13,4,17,14,10,24,13,5,18,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
Catholic,2,187,St Patrick's School,Primary,O,3,1,4,1,4,5,1,7,8,5,0,5,4,5,9,2,4,6,3,6,9,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
Catholic,2,191,St Mary's School,Primary,O,11,16,27,13,8,21,12,10,22,15,11,26,12,11,23,11,19,30,9,19,28,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
Catholic,2,192,St Augustine's School,Primary,O,6,6,12,8,16,24,6,10,16,9,7,16,5,6,11,4,5,9,7,4,11,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
Catholic,2,204,St Monica's School,Primary,O,28,23,51,28,23,51,21,27,48,19,25,44,22,23,45,35,33,68,17,13,30,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337
Catholic,2,205,St Joseph's School,Primary,O,30,21,51,26,21,47,18,26,44,24,20,44,25,16,41,30,29,59,23,18,41,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
Catholic,2,212,St Brendan's Primary School,Primary,O,1,2,3,1,4,5,3,3,6,1,1,2,2,4,6,3,4,7,2,2,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Catholic,2,219,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,260,0,260,260,0,232,232,0,228,228,0,227,227,0,229,229,0,0,0,1436,1436
Catholic,2,227,St Patrick's School,Primary,O,4,5,9,4,10,14,1,4,5,7,8,15,3,6,9,1,1,2,3,4,7,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Catholic,2,236,St Joseph's College Mildura,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,82,153,86,94,180,74,85,159,80,99.6,179.6,45,47.6,92.6,62,52,114,0,0,0,878.2,878.2
Catholic,2,250,Star of the Sea College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,0,200,200,0,196,196,0,188,188,0,181,181,0,176,176,0,0,0,1140,1140
Catholic,2,251,St James' School,Primary,O,10,14,24,14,14,28,8,17,25,22,24,46,8,19,27,14,33,47,13,31,44,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
Catholic,2,252,St Peter's School,Primary,O,40,42,82,44.4,37,81.4,50,53,103,40,56,96,53,47.6,100.6,56,40,96,53,52,105,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664
Catholic,2,262,St Liborius' School,Primary,O,19,25,44,20,16,36,24,19,43,22,26,48,19,18,37,8,13,21,15,18,33,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262
Catholic,2,265,Damascus College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,110,203,92,110,202,84,107,191,70,102,172,57,96,153,44,87,131,0,0,0,1052,1052
Catholic,2,285,St Mary's School,Primary,O,3,3,6,1,5,6,4,4,8,11,4,15,6,4,10,4,5.6,9.6,5,10.4,15.4,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
Catholic,2,286,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,67,132,72,71,143,73,85,158,60,75,135,64,76,140,60,51,111,0,0,0,819,819
Catholic,2,289,St Ambrose's School,Primary,O,23,16,39,22,14,36,14,16,30,15,11,26,20,19,39,11,14,25,22,19,41,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
Catholic,2,299,St Joseph's School,Primary,O,7,1,8,2,1,3,4,3,7,3,1,4,1,6,7,4,4,8,3,2,5,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Catholic,2,324,Sacred Heart School,Primary,O,15,26,41,17,11,28,19,22,41,12,7,19,13,16,29,22,13,35,9,11,20,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
Catholic,2,336,St Paul's School,Primary,O,22,21,43,28,17,45,22,15,37,16,15,31,19,24,43,15,21,36,14,23.2,37.2,0,0,0,272.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.2
Catholic,2,338,St Andrew's School,Primary,O,21,23,44,28,24,52,27,20,47,19,19,38,31,23,54,32,19,51,47,26,73,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359
Catholic,2,353,St Brigid's School,Primary,O,8,12,20,11,8,19,14,17,31,11,9,20,5,19,24,10,17,27,13,12,25,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
Catholic,2,355,Our Lady of Mount Carmel School,Primary,O,27,19,46,23,22,45,16,22,38,27,13,40,17,23,40,22,18,40,14,26,40,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289
Catholic,2,367,St Joseph's School,Primary,O,2,5,7,3,3,6,0,0,0,4,6,10,4,1,5,1,6,7,3,3,6,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Catholic,2,368,St Mary's School,Primary,O,6,4,10,10,6,16,10,12,22,5.4,9,14.4,1,12,13,8,9.2,17.2,7,7,14,0,0,0,106.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.6
Catholic,2,379,St Mary's School,Primary,O,2,0,2,1,2,3,2,2,4,1,4,5,1,2,3,2,4,6,2,2,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Catholic,2,384,FCJ College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50,31,42,73,24,34,58,20,19,39,22,38,60,28,28,56,0,0,0,336,336
Catholic,2,386,St Patrick's School,Primary,O,47,40,87,44,45,89,38,44,82,39,28,67,54,43,97,35,43,78,42,31,73,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573
Catholic,2,401,Sacred Heart Primary School,Primary,O,36,36,72,34,26,60,30,36,66,38,28,66,19,31,50,33,37,70,33,34,67,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
Catholic,2,404,Xavier College,Pri/Sec,O,22,8,30,20,9,29,20,8,28,26,6,32,28,5,33,159,0,159,189,0,189,0,0,0,500,235,0,235,242,0,242,242,0,242,251,0,251,260,0,260,237,0,237,0,0,0,1467,1967
Catholic,2,409,St Joseph's School,Primary,O,4,3,7,2,1,3,3,2,5,3,4,7,3,1,4,4,1,5,1,1,2,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Catholic,2,411,Marian College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,78,41,45,86,42,49,91,53,55,108,43,42,85,25,33,58,0,0,0,506,506
Catholic,2,413,Sacred Heart School,Primary,O,3,2,5,3,3,6,5,2,7,0,4,4,1,2,3,4,2,6,1,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Catholic,2,414,St Bernard's School,Primary,O,25.4,12,37.4,20,18.4,38.4,21,24,45,21,23,44,20,18,38,16,13,29,14,26,40,0,0,0,271.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.8
Catholic,2,445,St Patrick's School,Primary,O,11,12,23,4,6,10,2,15,17,12,14,26,6,6,12,14,10,24,3,8,11,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
Catholic,2,467,Academy of Mary Immaculate,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,113,113,0,89,89,0,107,107,0,101,101,0,99,99,0,0,0,627,627
Catholic,2,468,Sacred Heart School,Primary,O,12,11,23,9,8,17,7,10,17,7,10,17,7,4,11,5,15,20,0,7,7,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
Catholic,2,474,Mount Lilydale Mercy College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,136,263,120,144,264,126,130,256,113,138,251,102,126,228,93,109,202,0,0,0,1464,1464
Catholic,2,477,St Monica's School,Primary,O,9,14,23,11,10,21,12,6,18,11,10,21,11,10,21,4,6,10,8,11,19,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
Catholic,2,478,St Augustine's School,Primary,O,9,12,21,13,18,31,13,17,30,14,10,24,9,22,31,13,12,25,13,15,28,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
Catholic,2,486,St Michael & St John's School,Primary,O,17,22,39,17,14,31,27,16,43,19,20,39,17,17,34,19,14,33,18,19,37,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
Catholic,2,495,Trinity College Colac Inc,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,59,122,66,68,134,78,55,133,54,59,113,59,66,125,58,42,100,0,0,0,727,727
Catholic,2,496,St Mary's School,Primary,O,23,19,42,16.6,23,39.6,20,23,43,22,22,44,20,17.2,37.2,28,21,49,21,19,40,0,0,0,294.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.8
Catholic,2,500,Kilbreda College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,164,0,160,160,0,181,181,0,151,151,0,162,162,0,157,157,0,0,0,975,975
Catholic,2,501,Padua College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,223,448,211,235,446,238,201,439,203,195,398,183,191,374,135,158,293,0,0,0,2398,2398
Catholic,2,515,Notre Dame College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,126,291,157,129,286,146,138,284,153,152,305,124,140,264,127,148,275,0,0,0,1705,1705
Catholic,2,518,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,60,22.4,18,40.4,27,24,51,22,27.2,49.2,26,13,39,16,11,27,0,0,0,266.6,266.6
Catholic,2,524,St John's School,Primary,O,4,8,12,12,8.4,20.4,10,15,25,6,8,14,15,13,28,11,6,17,7,16,23,0,0,0,139.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.4
Catholic,2,525,St Joseph's School,Primary,O,16,17,33,18,18,36,27,12,39,13,25,38,19,24,43,27,20,47,12,17,29,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
Catholic,2,539,St Joseph's School,Primary,O,50,37,87,41,45,86,38,42,80,37,50,87,46,45,91,52,34,86,38,55,93,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610
Catholic,2,548,Saint Ignatius College Geelong,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,120,225,112,111,223,114,111,225,120,104,224,93,103,196,88,77,165,0,0,0,1258,1258
Catholic,2,549,St Mary's School,Primary,O,8,14,22,12,15,27,19,17,36,16,20,36,18,13,31,19,11,30,20,13.4,33.4,0,0,0,215.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.4
Catholic,2,550,St Patrick's School,Primary,O,28,38,66,26,21,47,34,39,73,44,34,78,38,41,79,40,31,71,26,32,58,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472
Catholic,2,566,St Monica's Primary School,Primary,O,40,36,76,43,31,74,37,37,74,47,35,82,40,35,75,39,36,75,43,37,80,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536
Catholic,2,567,St Patrick's School,Primary,O,15,18,33,14,19,33,19,15,34,27,17,44,17,19,36,22,22,44,10,11,21,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
Catholic,2,576,Catholic Ladies' College Ltd,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,159,159,0,131,131,0,143,143,0,186,186,0,128,128,0,0,0,867,867
Catholic,2,579,St Joseph's School,Primary,O,8,4,12,11,7,18,5,7,12,6,12,18,7,6,13,8,8,16,14,8,22,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
Catholic,2,581,St Mary's School,Primary,O,8,6,14,7,6,13,7,4,11,8,11,19,10,10,20,7,10,17,4,8,12,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
Catholic,2,584,St Mary's School,Primary,O,51,37,88,44,53,97,31,47,78,33,43,76,32,41,73,30,44,74,32,37,69,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555
Catholic,2,590,Sacred Heart School,Primary,O,19,16,35,21,26,47,24,24,48,31,18,49,23.6,24.6,48.2,11,19,30,2.6,14,16.6,0,0,0,273.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.8
Catholic,2,594,St Mary's School,Primary,O,13,13,26,13,14,27,16,8,24,14,8,22,15,15,30,12,13,25,7,20,27,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181
Catholic,2,595,St Joseph's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.2,66,162.2,83,79,162,67,91,158,59,84,143,68,82,150,58,82,140,0,0,0,915.2,915.2
Catholic,2,599,St Patrick's School,Primary,O,12,9.2,21.2,15,13,28,12,12,24,13,16.2,29.2,14,19,33,13,9,22,9,13,22,0,0,0,179.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.4
Catholic,2,603,St Joseph's School,Primary,O,9,9,18,8,11,19,5,10,15,9,9,18,5,4,9,10,9,19,8,5,13,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
Catholic,2,605,St Aloysius College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,0,107,107,0,92,92,0,73,73,0,89,89,0,82,82,0,0,0,521,521
Catholic,2,607,All Saints Parish School,Primary,O,8,8,16,18,16,34,6,17,23,11,11,22,13,16,29,17,15,32,20,22,42,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
Catholic,2,625,Catholic College Sale,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4,64,140.4,79,79,158,82,66,148,59,64,123,56,77,133,72,77,149,0,0,0,851.4,851.4
Catholic,2,646,St Augustine's College,Pri/Sec,O,27,31,58,18,23,41,23,27,50,26,28,54,25,33,58,32,20,52,31,16,47,0,0,0,360,33,37,70,35,16,51,24,36,60,30,32,62,24,28,52,15,19,34,0,0,0,329,689
Catholic,2,653,Our Holy Redeemer School,Primary,O,13,10,23,14,9,23,11,10,21,11,25,36,9,10,19,15,11,26,5,13,18,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
Catholic,2,661,Our Lady of the Sacred Heart Primary,Primary,O,2,2,4,5,6,11,5,5,10,5,1,6,2,2,4,7,0,7,1,2,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Catholic,2,672,St Joseph's School,Primary,O,8,3,11,5,14,19,10,10,20,11,9,20,3,6,9,9,20,29,3,6,9,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
Catholic,2,684,St Joseph's School,Primary,O,6,4,10,2,1,3,6,1,7,3,1,4,0,0,0,3,2,5,6,2,8,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Catholic,2,690,Mercy Regional College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,74,32,35,67,45,34,79,40,39,79,36,50,86,30,40,70,0,0,0,455,455
Catholic,2,691,St Patrick's School,Primary,O,15,17,32,24,24,48,22.4,16,38.4,25,17,42,24,37,61,33,21,54,25,27,52,0,0,0,327.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.4
Catholic,2,707,St Columba's College,Secondary,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,171,0,196,196,0,171,171,0,164,164,0,177,177,0,150,150,0,0,0,1029,1029
Catholic,2,715,St Michael's School,Primary,O,2,6,8,6,7,13,10,8,18,4,8,12,5,5,10,8,10,18,2,7,9,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
