Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,"Prep Males Total""""","Prep Females Total""""","Prep Total""""","Year 1 Males Total""""","Year 1 Females Total""""","Year 1 Total""""","Year 2 Males total""""","Year 2 Females Total""""","Year 2 Total""""","Year 3 Males Total""""","Year 3 Females Total""""","Year 3 Total""""","Year 4 Males Total""""","Year 4 Females Total""""","Year 4 Total""""","Year 5 Males Total""""","Year 5 Females Total""""","Year 5 Total""""","Year 6 Males Total""""","Year 6 Females Total""""","Year 6 Total""""","Primary Ungraded Males Total""""","Primary Ungraded Females Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Males Total""""","Year 7 Females Total""""","Year 7 Total""""","Year 8 Males Total""""","Year 8 Females Total""""","Year 8 Total""""","Year 9 Males Total""""","Year 9 Females Total""""","Year 9 Total""""","Year 10 Males Total""""","Year 10 Females Total""""","Year 10 Total""""","Year 11 Males Total""""","Year 11 Females Total""""","Year 11 Total""""","Year 12 Males""""","Year 12 Females""""","Year 12 Total""""","Secondary Ungraded Males Total""""","Secondary Ungraded Females Total""""","Secondary Ungraded Total""""","Secondary Total""""",Grand Total
Government,1,767,Hepburn Primary School,Primary,O,4,5,9,5,2,7,3,6,9,4,7,11,8,3,11,5,7,12,5,3,8,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Government,1,769,Lara Lake Primary School,Primary,O,48,74,122,35,41,76,42,70,112,37,49,86,51,60,111,44,47,91,53,33,86,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684
Government,1,770,Rosedale Primary School,Primary,O,6,4,10,12,10,22,6,12,18,9,3,12,6.4,9,15.4,9,8,17,9,4,13,0,0,0,107.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.4
Government,1,776,Bright P-12 College,Pri/Sec,O,15,11,26,20,17,37,24,19,43,16,9,25,25,14,39,16,19,35,25,12,37,0,0,0,242,25,20,45,19,30,49,17,12.9,29.9,17,12.9,29.9,18.3,13.8,32.1,13.4,22.5,35.9,0,0,0,221.8,463.8
Government,1,795,Rochester Primary School,Primary,O,13,13,26,8,8,16,15,9,24,11,11,22,14,9,23,8,8,16,8,19,27,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
Government,1,800,Ararat Primary School,Primary,O,13.4,15.2,28.6,11,18,29,15,19,34,17,17,34,23,20,43,26,18,44,16,21,37,0,0,0,249.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.6
Government,1,814,Jamieson Primary School,Primary,O,2,3,5,2,0,2,0,1,1,1.4,2,3.4,0,1,1,0,3,3,1,0,1,0,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4
Government,1,824,Preston South Primary School,Primary,O,29.6,30,59.6,16,6,22,16,13,29,6,8,14,9,10,19,6,7,13,14,9,23,0,0,0,179.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.6
Government,1,831,Omeo Primary School,Primary,O,4,1,5,2,2,4,4,2,6,1,2,3,3,5,8,4,4,8,2,3,5,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Government,1,843,Harrietville Primary School,Primary,O,3,0,3,3,1,4,1,0,1,0,1,1,2,3,5,0,2,2,2,3,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Government,1,846,Mordialloc Beach Primary School,Primary,O,17,5,22,13,14,27,23,12,35,18,12,30,13,14,27,14,14,28,10,12,22,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191
Government,1,849,Healesville Primary School,Primary,O,23,18,41,17,16,33,18,20,38,24,21,45,16,22,38,31,23,54,19,24,43,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292
Government,1,854,Lake Bolac College,Pri/Sec,O,2,5,7,4,7,11,5,6,11,4,9,13,3,5,8,7,2,9,1,5,6,0,0,0,65,6,2,8,4,6,10,0,1,1,3,0,3,1,2,3,3,3,6,0,0,0,31,96
Government,1,856,Toongabbie Primary School,Primary,O,3,3,6,6,8,14,6,2,8,7,0,7,4,5,9,4,7,11,1,5,6,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Government,1,859,Waubra Primary School,Primary,O,2,6,8,1,7,8,4,4,8,5,4,9,7,7,14,5,4,9,4,2,6,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
Government,1,860,Great Western Primary School,Primary,O,0,1,1,0,3,3,0,0,0,2,0,2,3,2,5,2,2,4,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Government,1,861,Maffra Primary School,Primary,O,20,27,47,22,22,44,25,28,53,17,25,42,25,15,40,15,27,42,24,31,55,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323
Government,1,862,Broken Creek Primary School,Primary,O,0,0,0,0,0,0,1,3,4,2,2,4,4,0,4,1,2,3,2,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Government,1,863,Lal Lal Primary School,Primary,O,4,4,8,3,0,3,1,6,7,3,1,4,6,2,8,3,3,6,6,0,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Government,1,864,Cobden Primary School,Primary,O,9,11,20,14,11,25,12,8,20,18,12,30,18,11,29,13,14,27,19,15,34,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
Government,1,866,St Leonards Primary School,Primary,O,2,8,10,4,13,17,12,5,17,6,7,13,6,9,15,13,6,19,5,6,11,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
Government,1,876,Lilydale Primary School,Primary,O,19,13,32,11,14,25,12,13,25,19,26,45,19,15,34,14,19,33,17,25,42,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
Government,1,877,Bendigo Primary School,Primary,O,12,15,27,12,15,27,17,13,30,12,12,24,10,15,25,8,12,20,8,7,15,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
Government,1,878,Darraweit Guim Primary School,Primary,O,3,3,6,2,6,8,3,3,6,1,3,4,2,1,3,2,0,2,0,4,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Government,1,880,Linton Primary School,Primary,O,3,4,7,2,0,2,1,3,4,3,3,6,2,3,5,1,3,4,1,1,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
