"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total","Year","CENSUS_TYPE"
"Catholic",2,20,"Parade College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","342","0","342","327","0","327","322","0","322","355","0","355","307","0","307","315","0","315","0","0","0","1968","1968",2021,"F"
"Catholic",2,25,"Simonds Catholic College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","0","72","63","0","63","79","0","79","64","0","64","70","0","70","64","0","64","0","0","0","412","412",2021,"F"
"Catholic",2,26,"St Mary’s College Melbourne","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","6","50","56","6","62","79","27","106","91","18","109","79","29","108","91","13","104","0","0","0","539","539",2021,"F"
"Catholic",2,28,"St Patrick's College Ballarat","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","0","240","231","0","231","225","0","225","219","0","219","208","0","208","174","0","174","0","0","0","1297","1297",2021,"F"
"Catholic",2,29,"St Patrick's School","Primary","O","15","20","35","28","13","41","14","18","32","16","18","34","17","15","32","15","17","32","15","23","38","0","0","0","244","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","244",2021,"F"
"Catholic",2,30,"St Alipius' Parish School","Primary","O","17","18","35","17","20","37","10","19","29","19","13","32","18","23","41","18","28","46","21","25","46","0","0","0","266","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","266",2021,"F"
"Catholic",2,33,"Emmanuel College Inc.","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","135","244","105","120","225","110","107","217","83","121","204","90.1","99.2","189.3","73.1","99.5","172.6","0","0","0","1251.9","1251.9",2021,"F"
"Catholic",2,35,"Loreto College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","157","0","156","156","0","158","158","0","151","151","0","159","159","0","150.4","150.4","0","0","0","931.4","931.4",2021,"F"
"Catholic",2,60,"St Mary's School","Primary","O","6","11","17","11","10","21","10.7","12","22.7","13.2","14","27.2","17","10","27","15","17","32","19","13","32","0","0","0","178.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178.9",2021,"F"
"Catholic",2,77,"Sacred Heart School","Primary","O","27","22","49","20","25","45","22","26","48","21","29","50","21","23","44","19","19","38","16","25","41","0","0","0","315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","315",2021,"F"
"Catholic",2,78,"St Mary's School","Primary","O","17","20","37","22","19","41","21","23","44","30","18","48","27","23","50","28","20","48","30","20","50","0","0","0","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","318",2021,"F"
"Catholic",2,98,"St Michael’s Primary School","Primary","O","30","20","50","18","13","31","16","18","34","16","17","33","16","6","22","14","6","20","11","6","17","0","0","0","207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","207",2021,"F"
"Catholic",2,104,"St Patrick's School","Primary","O","17","24","41","13","20.6","33.6","16","20","36","30","21","51","19.6","18","37.6","26","24","50","19","28","47","0","0","0","296.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","296.2",2021,"F"
"Catholic",2,107,"St Mary's School","Primary","O","13","11","24","14","17","31","20","16","36","14","16","30","14","22","36","17","14","31","16","21","37","0","0","0","225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","225",2021,"F"
"Catholic",2,111,"Assumption College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126","99","225","107","94","201","132","109","241","112","109","221","94","90","184","96","89","185","0","0","0","1257","1257",2021,"F"
"Catholic",2,113,"St Brendan's School","Primary","O","9","8","17","9","12","21","5","10","15","9","10","19","5","5","10","9","8","17","8","7","15","0","0","0","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114",2021,"F"
"Catholic",2,130,"Catherine McAuley College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","165","155","320","151","128","279","132","125","257","110","131","241","82","110","192","86","86","172","0","0","0","1461","1461",2021,"F"
"Catholic",2,132,"St Augustine's School","Primary","O","21","22","43","14","14","28","11","13","24","22","19","41","23","16","39","20","20","40","15","12","27","0","0","0","242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","242",2021,"F"
"Catholic",2,139,"St Mary's School","Primary","O","25","39","64","39","35","74","34","27","61","33","34","67","33","39","72","28","19","47","24","33","57","0","0","0","442","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","442",2021,"F"
"Catholic",2,140,"St Aloysius' School","Primary","O","21","13","34","21","16","37","22","11","33","17","18","35","20","17","37","26","14","40","20","6","26","0","0","0","242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","242",2021,"F"
"Catholic",2,148,"St Joseph's School","Primary","O","42","32","74","33","37","70","32","31","63","32","30","62","41","33","74","15","16","31","21","25","46","0","0","0","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","420",2021,"F"
"Catholic",2,149,"Sacre Coeur","Pri/Sec","O","0","18","18","0","16","16","0","13","13","0","23","23","0","24","24","0","42","42","0","36","36","0","0","0","172","0","76","76","0","89","89","0","93","93","0","93","93","0","91","91","0","95","95","0","0","0","537","709",2021,"F"
"Catholic",2,151,"St Joseph's School","Primary","O","12","12","24","10","5","15","11","12","23","10","12","22","5","12","17","7","13","20","6","12","18","0","0","0","139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139",2021,"F"
"Catholic",2,152,"Sacred Heart School","Primary","O","9","12","21","9","10","19","3","10","13","10","2","12","10","5","15","6","7","13","11","11","22","0","0","0","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115",2021,"F"
"Catholic",2,153,"Sacred Heart School","Primary","O","7","4","11","6","11","17","7","9","16","7","7","14","6","7","13","5","8","13","2","4","6","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90",2021,"F"
"Catholic",2,154,"St Michael's School","Primary","O","30","32","62","26","41.4","67.4","37","31","68","35","32","67","36","29","65","29","39","68","32","34","66","0","0","0","463.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","463.4",2021,"F"
"Catholic",2,156,"St Brendan's School","Primary","O","32","35","67","28","34","62","22","25","47","30","32","62","25","25","50","36","18","54","29","30","59","0","0","0","401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401",2021,"F"
"Catholic",2,161,"St Mary's College","Pri/Sec","O","18","19","37","23","23","46","9","27","36","23","20","43","22","12","34","16","14","30","23","14","37","0","0","0","263","31","25","56","36","25","61","13","17","30","11","21","32","0","0","0","0","0","0","0","0","0","179","442",2021,"F"
"Catholic",2,181,"St Mary's School","Primary","O","1","3","4","4","1","5","4","2","6","1","4","5","4","1","5","2","3","5","5","3","8","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38",2021,"F"
"Catholic",2,183,"St Mary's Primary School","Primary","O","12","12","24","14","10","24","14","11","25","14","14","28","16","10","26","16","10","26","12","16","28","0","0","0","181","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","181",2021,"F"
"Catholic",2,184,"St Patrick's Primary School","Primary","O","42","36","78","43","37","80","38","31","69","40","41","81","43.6","31","74.6","36","35","71","43","41","84","0","0","0","537.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","537.6",2021,"F"
"Catholic",2,185,"St Brigid's School","Primary","O","4","4","8","8","7","15","5","9","14","3","5","8","3","12","15","14","9","23","6","9","15","0","0","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98",2021,"F"
"Catholic",2,187,"St Patrick's School","Primary","O","6","4","10","4","2","6","5","3","8","0","4","4","4","2","6","1","4","5","1","5","6","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45",2021,"F"
"Catholic",2,191,"St Mary's School","Primary","O","10","14","24","21","13","34","8","9","17","9","18","27","12","15","27","9","9","18","10","11","21","0","0","0","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","168",2021,"F"
"Catholic",2,192,"St Augustine's School","Primary","O","10","9","19","9","14","23","10","7","17","11","14","25","8","6","14","10","14","24","7","13","20","0","0","0","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142",2021,"F"
"Catholic",2,204,"St Monica's School","Primary","O","24","17","41","29","31","60","25","30","55","20","17","37","26","24","50","18","18","36","19","27","46","0","0","0","325","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325",2021,"F"
"Catholic",2,205,"St Joseph's School","Primary","O","23","30","53","24","19","43","39","24","63","9","35","44","23","21","44","26","18","44","20","31","51","0","0","0","342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","342",2021,"F"
"Catholic",2,212,"St Brendan's Primary School","Primary","O","1","1","2","1","3","4","2","1","3","0","0","0","1","2","3","1","2","3","1","3","4","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19",2021,"F"
"Catholic",2,219,"Sacred Heart College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","231","231","0","257","257","0","258","258","0","257","257","0","251","251","0","248","248","0","0","0","1502","1502",2021,"F"
"Catholic",2,227,"St Patrick's School","Primary","O","13","11","24","10","9","19","8","3","11","8","3","11","5","5","10","7","7","14","1","4","5","0","0","0","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94",2021,"F"
"Catholic",2,236,"St Joseph's College Mildura","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","73","141","79","80","159","70","96","166","90","93","183","41","42","83","47","49","96","0","0","0","828","828",2021,"F"
"Catholic",2,250,"Star of the Sea College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","212","212","0","201","201","0","207","207","0","214","214","0","197","197","0","181","181","0","0","0","1212","1212",2021,"F"
"Catholic",2,251,"St James' School","Primary","O","7","16","23","11","13","24","7","17","24","16","16","32","9","23","32","8","12","20","7","16","23","0","0","0","178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178",2021,"F"
"Catholic",2,252,"St Peter's School","Primary","O","46","45","91","35","48","83","43","36","79","49","44","93","35","43","78","39","34","73","52","53","105","0","0","0","602","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","602",2021,"F"
"Catholic",2,262,"St Liborius' School","Primary","O","15","16","31","20","18","38","22","17","39","24","19","43","15","23","38","13","16","29","21","16","37","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255",2021,"F"
"Catholic",2,265,"Damascus College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96","112","208","90","114","204","98","109","207","85","119","204","82","106","188","56","97","153","0","0","0","1164","1164",2021,"F"
"Catholic",2,285,"St Mary's School","Primary","O","7","7","14","4","11","15","6","4","10","8","5","13","5","6","11","4","6","10","7","3","10","0","0","0","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83",2021,"F"
"Catholic",2,286,"Sacred Heart College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71","82","153","78","75","153","53","83","136","78","78","156","42","47","89","53","53","106","0","0","0","793","793",2021,"F"
"Catholic",2,289,"St Ambrose's School","Primary","O","15","16","31","25","14","39","20","26","46","16","14","30","27","17","44","16","12","28","14","18","32","0","0","0","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250",2021,"F"
"Catholic",2,299,"St Joseph's School","Primary","O","0","2","2","4","2","6","2","1","3","3","1","4","3","1","4","1","0","1","4","3","7","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27",2021,"F"
"Catholic",2,324,"Sacred Heart School","Primary","O","20","20","40","17","19","36","21","25","46","8","23","31","12","24","36","15","11","26","13","17","30","0","0","0","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","245",2021,"F"
"Catholic",2,336,"St Paul's School","Primary","O","16","14","30","14","23","37","20","13","33","22","17","39","18","23","41","21.9","18","39.9","18","12","30","0","0","0","249.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","249.9",2021,"F"
"Catholic",2,338,"St Andrew's School","Primary","O","21","9","30","22","18","40","19","21","40","12","29","41","16","21","37","18","25","43","24","18","42","0","0","0","273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","273",2021,"F"
"Catholic",2,353,"St Brigid's School","Primary","O","20","13","33","20","18","38","11","6","17","13","18","31","9","9","18","13","8","21","8","19","27","0","0","0","185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","185",2021,"F"
"Catholic",2,355,"Our Lady of Mount Carmel School","Primary","O","21","14","35","22","13","35","15.2","19","34.2","17","20","37","25","18","43","24","23","47","17","21","38","0","0","0","269.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","269.2",2021,"F"
"Catholic",2,367,"St Joseph's School","Primary","O","4","3","7","2","2","4","3","3","6","2","4","6","3","3","6","4","1","5","1","1","2","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36",2021,"F"
"Catholic",2,368,"St Mary's School","Primary","O","4","11","15","4","8","12","7","7","14","4","5","9","7","2","9","12","6","18","9.4","8.4","17.8","0","0","0","94.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.8",2021,"F"
"Catholic",2,379,"St Mary's School","Primary","O","1","0","1","5","3","8","5","3","8","1","2","3","3","0","3","1","4","5","5","3","8","0","0","0","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36",2021,"F"
"Catholic",2,384,"FCJ College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","26","69","31","38","69","37","44","81","25","28","53","18","30","48","27","30","57","0","0","0","377","377",2021,"F"
"Catholic",2,386,"St Patrick's School","Primary","O","27","29","56","32","24","56","33","24","57","38","31","69","39.2","29","68.2","38","40","78","31","44","75","0","0","0","459.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","459.2",2021,"F"
"Catholic",2,401,"Sacred Heart Primary School","Primary","O","23","37","60","29","22","51","44","34","78","35","27","62","31","33","64","30","29","59","30","35","65","0","0","0","439","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","439",2021,"F"
"Catholic",2,404,"Xavier College","Pri/Sec","O","19","0","19","19","0","19","19","0","19","34","0","34","24","5","29","76","0","76","123","0","123","0","0","0","319","228","0","228","210","0","210","229","0","229","249","0","249","258","0","258","254","0","254","0","0","0","1428","1747",2021,"F"
"Catholic",2,409,"St Joseph's School","Primary","O","3","1","4","5","1","6","0","1","1","2","1","3","2","2","4","2","1","3","3","1","4","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25",2021,"F"
"Catholic",2,411,"Marian College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","44","84","39","46","85","40","38","78","23","58","81","20","36","56","28","39","67","0","0","0","451","451",2021,"F"
"Catholic",2,413,"Sacred Heart School","Primary","O","1","1","2","4","0","4","2","6","8","4","1","5","1","1","2","2","6","8","5","1","6","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35",2021,"F"
"Catholic",2,414,"St Bernard's School","Primary","O","27","22","49","30","22","52","21","27","48","27","21","48","35","13","48","22","23.4","45.4","22","26","48","0","0","0","338.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","338.4",2021,"F"
"Catholic",2,445,"St Patrick's School","Primary","O","7","5","12","4","8","12","2","6","8","6","8","14","12","5","17","4","7","11","3","15","18","0","0","0","92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92",2021,"F"
"Catholic",2,467,"Academy of Mary Immaculate","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130","130","0","134","134","0","107","107","0","122","122","0","100","100","0","100","100","0","0","0","693","693",2021,"F"
"Catholic",2,468,"Sacred Heart School","Primary","O","7","8","15","10","3","13","16","8","24","3","4","7","8","8","16","10","6.4","16.4","5","10","15","0","0","0","106.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106.4",2021,"F"
"Catholic",2,474,"Mount Lilydale Mercy College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","133","132","265","137","146","283","125","136","261","135","124","259","118","123","241","85","117","202","0","0","0","1511","1511",2021,"F"
"Catholic",2,477,"St Monica's School","Primary","O","9","7","16","5","10","15","10","13","23","6","8","14","9","13","22","7","9","16","10","4","14","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120",2021,"F"
"Catholic",2,478,"St Augustine's School","Primary","O","21","5","26","8","10","18","12","11.4","23.4","7","12","19","9","8","17","9","16","25","11","14","25","0","0","0","153.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","153.4",2021,"F"
"Catholic",2,486,"St Michael & St John's School","Primary","O","20","21","41","21","21","42","21","17","38","14","16","30","16","21","37","18","18","36","24","12","36","0","0","0","260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","260",2021,"F"
"Catholic",2,495,"Trinity College Colac Inc","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","71","154","59","59","118","82","71","153","57","62","119","57","52","109","59","57","116","0","0","0","769","769",2021,"F"
"Catholic",2,496,"St Mary's School","Primary","O","28","17","45","14","24","38","23","14","37","23","27.2","50.2","17","17.4","34.4","21","25","46","17","24","41","0","0","0","291.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","291.6",2021,"F"
"Catholic",2,500,"Kilbreda College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163","163","0","149","149","0","154","154","0","142","142","0","140","140","0","143","143","0","0","0","891","891",2021,"F"
"Catholic",2,501,"Padua College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240","229","469","219","214","433","210","226","436","208","230","438","196","192","388","173","183","356","0","0","0","2520","2520",2021,"F"
"Catholic",2,515,"Notre Dame College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170","146","316","158","139","297","157","155","312","138","135","273","139","123","262","106","121","227","0","0","0","1687","1687",2021,"F"
"Catholic",2,518,"Sacred Heart College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24","27","51","16","26","42","36","26","62","18","18","36","20","18","38","14","12","26","0","0","0","255","255",2021,"F"
"Catholic",2,524,"St John's School","Primary","O","5","6","11","6","6","12","2","6","8","4","5","9","5","7","12","8","5","13","7","13","20","0","0","0","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85",2021,"F"
"Catholic",2,525,"St Joseph's School","Primary","O","16","15","31","20","20","40","5","14","19","28","12","40","20","18","38","18","22","40","22","10","32","0","0","0","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","240",2021,"F"
"Catholic",2,539,"St Joseph's School","Primary","O","39","42","81","52","37","89","48","31","79","38","36","74","57","43","100","43","50","93","39","48","87","0","0","0","603","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","603",2021,"F"
"Catholic",2,548,"Saint Ignatius College Geelong","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","125","125","250","132","117","249","123","124","247","113","111","224","94","110","204","83","101","184","0","0","0","1358","1358",2021,"F"
"Catholic",2,549,"St Mary's School","Primary","O","12","24","36","15","22","37","18","19","37","18","20","38","12","15","27","12","16","28","18","18","36","0","0","0","239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","239",2021,"F"
"Catholic",2,550,"St Patrick's School","Primary","O","26","21","47","25","30","55","27","35","62","24","29","53","30","39","69","31","25","56","39","40","79","0","0","0","421","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","421",2021,"F"
"Catholic",2,566,"St Monica's Primary School","Primary","O","31","43","74","43","39","82","33","37","70","39","40","79","35","44","79","41","25","66","35","42","77","0","0","0","527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","527",2021,"F"
"Catholic",2,567,"St Patrick's School","Primary","O","22","13","35","18","17","35","20","14","34","14","12","26","16","19","35","15","21","36","20","16","36","0","0","0","237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","237",2021,"F"
"Catholic",2,576,"Catholic Ladies' College Ltd","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","141","141","0","140.4","140.4","0","138","139","0","106","106","0","105","105","0","132","132","0","0","0","763.4","763.4",2021,"F"
"Catholic",2,579,"St Joseph's School","Primary","O","7","5","12","5","4","9","5","3","8","5","9","14","6","4","10","8","9","17","7","5","12","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82",2021,"F"
"Catholic",2,581,"St Mary's School","Primary","O","9","4","13","4","6","10","5","5","10","3","6","9","6","6","12","6","4","10","6","5","11","0","0","0","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75",2021,"F"
"Catholic",2,584,"St Mary's School","Primary","O","54","42","96","42","46","88","37.2","38","75.2","49","50","99","49","35.6","84.6","53","54","107","34","50","84","0","0","0","633.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","633.8",2021,"F"
"Catholic",2,590,"Sacred Heart School","Primary","O","19","14","33","10","16","26","33","10","43","19","15","34","24","13","37","15","23","38","10","20","30","0","0","0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","241",2021,"F"
"Catholic",2,594,"St Mary's School","Primary","O","12","4","16","8","11","19","9","10","19","11","10","21","6","14","20","10","10","20","12","5","17","0","0","0","132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","132",2021,"F"
"Catholic",2,595,"St Joseph's College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73","90","163","78","84","162","73.4","89","162.4","78","85","163","76.2","79","155.2","60.2","76","136.2","0","0","0","941.8","941.8",2021,"F"
"Catholic",2,599,"St Patrick's School","Primary","O","10","14","24","16","15","31","17","12","29","13","18","31","14","10","24","16","14","30","15","16","31","0","0","0","200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200",2021,"F"
"Catholic",2,603,"St Joseph's School","Primary","O","7","16","23","3","9","12","15","13","28","8","13","21","8","10","18","10","8","18","3","7","10","0","0","0","130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","130",2021,"F"
"Catholic",2,605,"St Aloysius College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","66","0","76","76","0","74","74","0","68","68","0","68","68","0","75","75","0","0","0","427","427",2021,"F"
"Catholic",2,607,"All Saints Parish School","Primary","O","21","23","44","13","26","39","15","19","34","16","16","32","15","15","30","29","24","53","11","19","30","0","0","0","262","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","262",2021,"F"
"Catholic",2,625,"Catholic College Sale","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","77","165","79","86","165","77.8","83","160.8","80","78","158","68","57","125","46","57","103","0","0","0","876.8","876.8",2021,"F"
"Catholic",2,646,"St Augustine's College","Pri/Sec","O","14","35","49","25","23","48","21","20","41","21","29","50","26","34","60","21","26","47","28","26","54","0","0","0","349","38","27","65","44","39","83","44","29","73","34","19","53","34","27","61","25","15","40","0","0","0","375","724",2021,"F"
"Catholic",2,653,"Our Holy Redeemer School","Primary","O","16","8","24","15","12","27","13","13","26","13","9","22","13","4","17","10","10","20","8","8","16","0","0","0","152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152",2021,"F"
"Catholic",2,661,"Our Lady of the Sacred Heart Primary","Primary","O","5","2","7","3","4","7","5","4","9","5","6","11","1","2","3","4","6","10","5","4","9","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56",2021,"F"
"Catholic",2,672,"St Joseph's School","Primary","O","9","12","21","11","3","14","2","7","9","5","16","21","7","6","13","2","13","15","4","6","10","0","0","0","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103",2021,"F"
