"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total","Year","CENSUS_TYPE"
"Government",1,3581,"The Lake Primary School","Primary","O","15","24","39","29","23","52","27","24","51","30","26","56","27","22","49","21","12","33","17","16","33","0","0","0","313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","313",2021,"F"
"Government",1,3584,"Grey Street Primary School (Traralgon)","Primary","O","36","29","65","25","31","56","38","34","72","46","36","82","42","39","81","38","37","75","35","32","67","0","0","0","498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","498",2021,"F"
"Government",1,3585,"Brunswick North Primary School","Primary","O","38","30","68","28","34","62","34","41","75","42","22","64","42","38","80","44","36","80","36.4","26","62.4","0","0","0","491.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","491.4",2021,"F"
"Government",1,3590,"Fawkner Primary School","Primary","O","20","22","42","23.4","18","41.4","28","28","56","21","12","33","19","18","37","17","13","30","13","12","25","0","0","0","264.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","264.4",2021,"F"
"Government",1,3599,"Alphington Primary School","Primary","O","29","19","48","30","26","56","30","25","55","28","29","57","28","32","60","32","31","63","26","30","56","0","0","0","395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","395",2021,"F"
"Government",1,3612,"Bona Vista Primary School","Primary","O","1","0","1","5","0","5","2","1","3","0","3","3","0","7","7","2","3","5","4","1","5","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29",2021,"F"
"Government",1,3613,"Banyan Fields Primary School","Primary","O","57","47","104","44","36","80","57","53","110","51","49","100","53","58","111","47","41","88","48","53","101","0","0","0","694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694",2021,"F"
"Government",1,3618,"Norris Bank Primary School","Primary","O","8","7","15","9","6","15","9.6","3","12.6","8","10","18","3","8.6","11.6","8","6","14","6","8","14","0","0","0","100.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.2",2021,"F"
"Government",1,3620,"Macclesfield Primary School","Primary","O","11","7","18","13","5.4","18.4","14","10","24","8","11","19","15","4","19","15","9","24","9","12","21","0","0","0","143.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143.4",2021,"F"
"Government",1,3631,"Black Rock Primary School","Primary","O","38","39","77","46","44","90","39","33","72","35","47","82","33.4","51","84.4","44.4","40","84.4","45","50","95","0","0","0","584.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","584.8",2021,"F"
