"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","Year","CENSUS_TYPE"
"Catholic",2,550,"St Patrick's School","Primary","O","26","32","58","22","27","49","29","40","69","31","23","54","36","40","76","47","35","82","39","45","84","0","0","0","472","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","472",2019,"F"
"Catholic",2,566,"St Monica's Primary School","Primary","O","34","36","70","38","36","74","35","45","80","42","28","70","40","44","84","50","35","85","40","31","71","0","0","0","534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","534",2019,"F"
"Catholic",2,567,"St Patrick's School","Primary","O","19","13","32","13","12","25","18","21","39","16","20","36","20","16","36","24","17","41","17","19","36","0","0","0","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","245",2019,"F"
"Catholic",2,576,"Catholic Ladies' College Ltd","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","142","142","0","115","115","0","127","127","0","139","139","0","116","116","0","139","139","0","0","0","778","778",2019,"F"
"Catholic",2,579,"St Joseph's School","Primary","O","8","7","15","5","11","16","12","4","16","11","8","19","6","4","10","5","9","14","9","5","14","0","0","0","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104",2019,"F"
"Catholic",2,581,"St Mary's School","Primary","O","7","7","14","4","5","9","8","8","16","7","6","13","8","4","12","5","12","17","9","8","17","0","0","0","98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98",2019,"F"
"Catholic",2,584,"St Mary's School","Primary","O","37.2","36","73.2","41","53","94","49","34.4","83.4","49","52","101","32","46","78","32","48","80","32","46","78","0","0","0","587.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","587.6",2019,"F"
"Catholic",2,590,"Sacred Heart School","Primary","O","30","10","40","19","13","32","23","16","39","23","24","47","27","24","51","12","9","21","6.6","10.4","17","0","0","0","247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","247",2019,"F"
"Catholic",2,594,"St Mary's School","Primary","O","10","9","19","12","14","26","11","12","23","12","13","25","14","7","21","11","12","23","13","13","26","0","0","0","163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","163",2019,"F"
"Catholic",2,595,"St Joseph's College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","87","162","82","85","167","94.2","72","166.2","92","72","164","55","89","144","27","78","105","0","0","0","908.2","908.2",2019,"F"
"Catholic",2,599,"St Patrick's School","Primary","O","14","14","28","14","18","32","13","9","22","16","16","32","16","16","32","16","18.2","34.2","16","21","37","0","0","0","217.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","217.2",2019,"F"
"Catholic",2,603,"St Joseph's School","Primary","O","14","14","28","10","12","22","11","10","21","10","9","19","5","11","16","8","11","19","5","4","9","0","0","0","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","134",2019,"F"
"Catholic",2,605,"St Aloysius College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82","82","0","77","77","0","64","64","0","82","82","0","84","84","0","68","68","0","0","0","457","457",2019,"F"
"Catholic",2,607,"All Saints Parish School","Primary","O","12","16","28","16","16","32","8","12","20","22","20","42","10","20","30","20","14","34","14","17","31","0","0","0","217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","217",2019,"F"
"Catholic",2,625,"Catholic College Sale","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.6","82","160.6","85","80","165","81","59","140","72","70","142","72","65","137","38","56","94","0","0","0","838.6","838.6",2019,"F"
"Catholic",2,646,"St Augustine's College","Pri/Sec","O","24","20","44","25","29","54","23","35","58","19","25","44","24","25","49","27","24","51","31","30","61","0","0","0","361","48","27","75","37","22","59","38","36","74","35","17","52","20","28","48","24","27","51","0","0","0","359","720",2019,"F"
"Catholic",2,653,"Our Holy Redeemer School","Primary","O","13","13","26","15","12","27","12","8","20","15","12","27","10","12","22","12","21","33","5","9","14","0","0","0","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","169",2019,"F"
"Catholic",2,661,"Our Lady of the Sacred Heart Primary","Primary","O","5","4","9","5","7","12","2","1","3","4","6","10","5","4","9","4","1","5","1","2","3","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51",2019,"F"
"Catholic",2,672,"St Joseph's School","Primary","O","3","7","10","12","11","23","9","8","17","5","14","19","5","9","14","13","8","21","3","7","10","0","0","0","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","114",2019,"F"
"Catholic",2,684,"St Joseph's School","Primary","O","6","2","8","3","2","5","5","4","9","1","2","3","6","1","7","2","1","3","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35",2019,"F"
"Catholic",2,690,"Mercy Regional College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","46","87","44","42","86","30","42","72","30","35","65","33","36","69","30","31","61","0","0","0","440","440",2019,"F"
"Catholic",2,691,"St Patrick's School","Primary","O","17","13","30","24","24","48","15","18","33","25","21","46","25","17","42","27","18","45","25","32","57","0","0","0","301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","301",2019,"F"
"Catholic",2,707,"St Columba's College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","157","157","0","173","173","0","163","163","0","192","192","0","167","167","0","152","152","0","0","0","1004","1004",2019,"F"
"Catholic",2,715,"St Michael's School","Primary","O","9","2","11","6","4","10","2","6","8","6","8","14","12","4","16","3","10","13","3","5","8","0","0","0","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80",2019,"F"
"Catholic",2,724,"St Mary's School","Primary","O","14","11","25","17","21","38","11","16","27","11","8","19","13","12","25","7","11","18","12","12","24","0","0","0","176","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","176",2019,"F"
"Catholic",2,726,"St Kilian's School","Primary","O","17","20","37","25","17","42","18","19","37","14","24","38","16","21","37","18","16","34","18","20","38","0","0","0","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","263",2019,"F"
"Catholic",2,733,"Genazzano FCJ College","Pri/Sec","O","0","9","9","0","15","15","0","14","14","0","14","14","0","21","21","0","45","45","0","50","50","0","0","0","168","0","104","104","0","113","113","0","117","117","0","128","128","0","164","164","0","130","130","0","0","0","756","924",2019,"F"
"Catholic",2,753,"St Augustine's School","Primary","O","26","14","40","21","27","48","24","22","46","28","15","43","17","29","46","33","19","52","20","28","48","0","0","0","323","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","323",2019,"F"
"Catholic",2,782,"St Patrick's School","Primary","O","8","7","15","14","10","24","8","12","20","17","13","30","4","9","13","11","17","28","13","7","20","0","0","0","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150",2019,"F"
"Catholic",2,836,"St Patrick's School","Primary","O","38","30","68","29","23","52","25","19","44","28","27","55","21","25","46","23","27","50","40","24","64","0","0","0","379","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","379",2019,"F"
"Catholic",2,840,"St Thomas' School","Primary","O","12","7","19","14","10","24","3","7","10","8","12","20","2","5","7","13","10","23","9","9","18","0","0","0","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121",2019,"F"
"Catholic",2,841,"St Joseph's School","Primary","O","17","22","39","21","27","48","28","26","54","29","26","55","31","25","56","29","32","61","44","28","72","0","0","0","385","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","385",2019,"F"
"Catholic",2,848,"St Joseph's School","Primary","O","25","14","39","17","18","35","20","14","34","24","13","37","24","13","37","25","15","40","22","24","46","0","0","0","268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","268",2019,"F"
"Catholic",2,909,"St John's School","Primary","O","25","25","50","20","22","42","26","21","47","27","22","49","29","27","56","22","25","47","13","40","53","0","0","0","344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","344",2019,"F"
