"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status",""Prep Males Total"",""Prep Females Total"",""Prep Total"",""Year 1 Males Total"",""Year 1 Females Total"",""Year 1 Total"",""Year 2 Males total"",""Year 2 Females Total"",""Year 2 Total"",""Year 3 Males Total"",""Year 3 Females Total"",""Year 3 Total"",""Year 4 Males Total"",""Year 4 Females Total"",""Year 4 Total"",""Year 5 Males Total"",""Year 5 Females Total"",""Year 5 Total"",""Year 6 Males Total"",""Year 6 Females Total"",""Year 6 Total"",""Primary Ungraded Males Total"",""Primary Ungraded Females Total"",""Primary Ungraded Total"",""Primary Total"",""Year 7 Males Total"",""Year 7 Females Total"",""Year 7 Total"",""Year 8 Males Total"",""Year 8 Females Total"",""Year 8 Total"",""Year 9 Males Total"",""Year 9 Females Total"",""Year 9 Total"",""Year 10 Males Total"",""Year 10 Females Total"",""Year 10 Total"",""Year 11 Males Total"",""Year 11 Females Total"",""Year 11 Total"",""Year 12 Males"",""Year 12 Females"",""Year 12 Total"",""Secondary Ungraded Males Total"",""Secondary Ungraded Females Total"",""Secondary Ungraded Total"",""Secondary Total"",""Grand Total"","Year","CENSUS_TYPE"
"Catholic",2,20,"Parade College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","333","0","333","337","0","337","351","0","351","319","0","319","332","0","332","281","0","281","0","0","0","1953","1953",2020,"F"
"Catholic",2,25,"Simonds Catholic College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","0","64","85","0","85","69","0","69","73","0","73","68","0","68","62","0","62","0","0","0","421","421",2020,"F"
"Catholic",2,26,"Christian Brothers' College St Kilda","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","0","54","74","0","74","94","0","94","87","0","87","97","0","97","71","0","71","0","0","0","477","477",2020,"F"
"Catholic",2,28,"St Patrick's College Ballarat","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","229","0","229","233","0","233","224","0","224","236","0","236","228","0","228","190","0","190","0","0","0","1340","1340",2020,"F"
"Catholic",2,29,"St Patrick's School","Primary","O","30","12","42","14","18","32","15","16","31","18","15","33","13","21","34","16","22","38","18","27","45","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255",2020,"F"
"Catholic",2,30,"St Alipius' Parish School","Primary","O","18","18","36","9","20","29","19","14","33","18","25","43","20","29","49","22","24","46","16","15","31","0","0","0","267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","267",2020,"F"
"Catholic",2,33,"Emmanuel College Inc.","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104","118","222","110","110","220","85","122.5","207.5","92","103","195","89","106.1","195.1","76.4","85.6","162","0","0","0","1201.6","1201.6",2020,"F"
"Catholic",2,35,"Loreto College","Secondary","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156","156","0","159","159","0","156","156","0","162","162","0","152","152","0","151","151","0","0","0","936","936",2020,"F"
"Catholic",2,60,"St Mary's School","Primary","O","11","7","18","9","11","20","11.3","14","25.3","17","10","27","14","17","31","19","14","33","14","20","34","0","0","0","188.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","188.3",2020,"F"
"Catholic",2,77,"Sacred Heart School","Primary","O","20","24","44","23","25","48","20","30","50","23","24","47","18","19","37","17","26","43","24","24","48","0","0","0","317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","317",2020,"F"
